ca_finance1_cocode|ca_company_name|ca_finance1_year|ca_ann_rep_months|ca_fs_format|ca_sale_of_goods|ca_export_incentives|ca_salaries_bonus_pf|ca_long_term_borrowings|ca_curr_portion_lt_borrowings|ca_gross_fixed_ast_addn|ca_gross_intangible_assets_tot_addn|ca_gross_fixed_ast_addn|ca_cf_net_frm_op_activity|ca_export_goods
125016|KWALITY LTD.|20190331|12|INDAS|21233.7000|NA|281.1000|NA|NA|505.2000|NA|505.2000|-1606.6000|NA
125016|KWALITY LTD.|20200331|12|INDAS|1342.8000|NA|124.6000|NA|NA|2.0000|NA|2.0000|13.9000|NA
125082|KYANG TEA SEED CO. LTD.|20160331|12|IGAAP|98.9000|NA|31.6000|NA|NA|NA|NA|NA|8.3000|NA
125082|KYANG TEA SEED CO. LTD.|20170331|12|IGAAP|91.2000|NA|33.5000|NA|NA|NA|NA|NA|4.6000|NA
125082|KYANG TEA SEED CO. LTD.|20180331|12|IGAAP|102.2000|NA|34.4000|NA|NA|NA|NA|NA|-22.6000|NA
125082|KYANG TEA SEED CO. LTD.|20190331|12|IGAAP|67.9000|NA|42.2000|NA|NA|2.0000|NA|2.0000|16.6000|NA
125082|KYANG TEA SEED CO. LTD.|20200331|12|IGAAP|107.6000|NA|55.2000|NA|NA|0.6000|NA|0.6000|35.3000|NA
125082|KYANG TEA SEED CO. LTD.|20210331|12|IGAAP|131.1000|NA|63.6000|NA|NA|7.8000|NA|7.8000|-13.3000|1.4000
125082|KYANG TEA SEED CO. LTD.|20220331|12|IGAAP|148.9000|NA|62.6000|NA|NA|7.0000|NA|7.0000|-16.6000|NA
126477|LAKSHMIJI SUGAR MILLS CO. LTD.|20160331|12|IGAAP|888.6000|NA|39.9000|1483.5000|NA|1659.1000|NA|1659.1000|84.2000|NA
126477|LAKSHMIJI SUGAR MILLS CO. LTD.|20170331|12|IGAAP|1590.5000|NA|67.9000|1242.8000|NA|5.0000|NA|5.0000|444.5000|NA
