sa_finance1_cocode|sa_company_name|sa_finance1_year|sa_ann_rep_months|sa_fs_format|sa_sale_of_goods|sa_export_incentives|sa_salaries_bonus_pf|sa_long_term_borrowings|sa_curr_portion_lt_borrowings|sa_net_fixed_assets|sa_gross_fixed_ast_addn|sa_gross_intangible_assets_tot_addn|sa_gross_fixed_ast_addn|sa_cf_net_frm_op_activity|sa_export_goods
222337|SHREE BHAGWATI FLOUR & FOODS PVT. LTD.|20190331|12|IGAAP|3079.9000|NA|150.9000|134.5000|NA|658.1000|41.9000|0.2000|41.9000|186.5000|1337.9000
222337|SHREE BHAGWATI FLOUR & FOODS PVT. LTD.|20200331|12|IGAAP|3586.7000|NA|129.5000|112.0000|NA|883.8000|277.4000|0.4000|277.4000|366.6000|1523.8000
222337|SHREE BHAGWATI FLOUR & FOODS PVT. LTD.|20210331|12|IGAAP|4091.0000|NA|121.7000|148.2000|NA|934.9000|101.6000|NA|101.6000|245.5000|1903.0000
222337|SHREE BHAGWATI FLOUR & FOODS PVT. LTD.|20220331|12|IGAAP|4124.8000|NA|103.5000|225.8000|NA|913.7000|31.3000|NA|31.3000|102.1000|1638.3000
23774|ASVINI FISHERIES PVT. LTD.|20160331|12|IGAAP|6925.7000|270.1000|389.5000|2.9000|4.5000|614.3000|205.0000|NA|205.0000|NA|6513.2000
23774|ASVINI FISHERIES PVT. LTD.|20170331|12|IGAAP|7629.8000|553.6000|373.0000|0.0000|2.9000|580.2000|45.9000|NA|45.9000|270.2000|7515.0000
23774|ASVINI FISHERIES PVT. LTD.|20180331|12|IGAAP|8442.6000|732.4000|471.0000|NA|NA|931.7000|427.0000|NA|427.0000|520.0000|8173.7000
23774|ASVINI FISHERIES PVT. LTD.|20190331|12|INDAS|9183.1000|705.2000|793.9000|15.3000|NA|1187.5000|530.0000|NA|530.0000|482.7000|9162.7000
23774|ASVINI FISHERIES PVT. LTD.|20200331|12|INDAS|11178.8000|1216.8000|997.0000|17.9000|NA|1217.9000|179.9000|NA|179.9000|675.1000|11131.0000
23774|ASVINI FISHERIES PVT. LTD.|20210331|12|INDAS|9404.1000|396.8000|906.0000|18.4000|NA|1138.2000|49.6000|3.6000|49.6000|354.1000|9378.9000
23774|ASVINI FISHERIES PVT. LTD.|20220331|12|INDAS|12598.7000|776.0000|1084.9000|23.8000|NA|1429.8000|432.2000|1.1000|432.2000|558.5000|12569.9000
23774|ASVINI FISHERIES PVT. LTD.|20230331|12|INDAS|14260.6000|667.9000|1202.9000|30.5000|NA|1660.1000|429.7000|0.1000|429.7000|1944.9000|14220.0000
245605|SYNTHITE INDUSTRIES PVT. LTD.|20160331|12|INDAS|12347.9000|NA|716.2000|406.0000|NA|2357.4000|245.6000|3.3000|245.6000|-201.0000|8077.6000
245605|SYNTHITE INDUSTRIES PVT. LTD.|20170331|12|INDAS|14706.9000|NA|771.1000|170.1000|234.5000|2396.3000|483.8000|8.8000|483.8000|249.0000|NA
245605|SYNTHITE INDUSTRIES PVT. LTD.|20180331|12|INDAS|13610.1000|7.9000|790.9000|202.1000|162.9000|2446.5000|468.8000|5.8000|468.8000|3395.6000|NA
245605|SYNTHITE INDUSTRIES PVT. LTD.|20190331|12|INDAS|12524.9000|393.7000|906.2000|150.1000|51.9000|2335.4000|285.3000|2.0000|285.3000|1503.8000|NA
245605|SYNTHITE INDUSTRIES PVT. LTD.|20200331|12|INDAS|13946.6000|321.2000|1176.0000|435.3000|76.2000|2605.3000|575.1000|0.2000|575.1000|1720.4000|NA
245605|SYNTHITE INDUSTRIES PVT. LTD.|20210331|12|INDAS|15914.4000|5.4000|1222.3000|387.9000|87.5000|2599.8000|414.9000|2.4000|414.9000|1598.5000|NA
245605|SYNTHITE INDUSTRIES PVT. LTD.|20220331|12|INDAS|19376.9000|74.6000|1385.2000|353.9000|100.0000|2692.5000|612.7000|55.1000|612.7000|-1037.2000|NA
245605|SYNTHITE INDUSTRIES PVT. LTD.|20230331|12|INDAS|19602.5000|197.4000|2009.2000|314.8000|108.6000|4138.2000|2008.7000|2.5000|2008.7000|1329.2000|NA
248057|TASTY BITE EATABLES LTD.|20160331|12|IGAAP|1972.2000|119.4000|139.7000|197.4000|38.1000|612.7000|79.4000|0.4000|79.4000|148.7000|1226.5000
248057|TASTY BITE EATABLES LTD.|20170331|12|INDAS|2385.0000|145.0000|170.7000|360.4000|NA|653.7000|144.8000|1.6000|144.8000|122.9000|1514.7000
248057|TASTY BITE EATABLES LTD.|20180331|12|INDAS|2755.9000|170.3000|203.4000|305.7000|56.3000|763.5000|220.1000|0.1000|220.1000|211.6000|NA
248057|TASTY BITE EATABLES LTD.|20190331|12|INDAS|3353.2000|172.7000|250.0000|258.1000|67.1000|821.1000|184.7000|1.0000|184.7000|555.5000|NA
248057|TASTY BITE EATABLES LTD.|20200331|12|INDAS|4221.9000|256.7000|302.8000|288.9000|72.9000|984.5000|237.7000|1.3000|237.7000|368.2000|2818.0000
248057|TASTY BITE EATABLES LTD.|20210331|12|INDAS|3797.8000|149.7000|290.4000|1133.8000|70.8000|1785.7000|978.1000|1.3000|978.1000|400.5000|3127.1000
248057|TASTY BITE EATABLES LTD.|20220331|12|INDAS|3676.0000|92.1000|309.6000|1021.0000|79.8000|1888.7000|361.9000|0.7000|361.9000|649.6000|2455.2000
248057|TASTY BITE EATABLES LTD.|20230331|12|INDAS|4715.6000|130.0000|300.8000|859.5000|137.6000|2071.0000|468.9000|7.7000|468.9000|610.7000|3111.9000
248186|TATA CONSUMER PRODUCTS LTD.|20160331|12|INDAS|29040.1000|75.9000|1495.2000|0.0000|3826.7000|1985.5000|382.3000|42.4000|382.3000|1316.2000|1908.2000
248186|TATA CONSUMER PRODUCTS LTD.|20170331|12|INDAS|29859.8000|76.6000|1588.0000|NA|NA|2137.9000|394.3000|49.1000|394.3000|5069.0000|NA
248186|TATA CONSUMER PRODUCTS LTD.|20180331|12|INDAS|31310.3000|126.2000|1755.3000|NA|NA|2268.0000|407.8000|91.1000|407.8000|1987.0000|NA
248186|TATA CONSUMER PRODUCTS LTD.|20190331|12|INDAS|33317.0000|173.9000|1817.9000|NA|NA|2419.0000|473.2000|50.4000|473.2000|974.7000|NA
248186|TATA CONSUMER PRODUCTS LTD.|20200331|12|INDAS|56074.9000|177.0000|2539.1000|1218.2000|NA|64525.4000|62495.2000|61401.0000|62495.2000|7450.3000|NA
248186|TATA CONSUMER PRODUCTS LTD.|20210331|12|INDAS|70870.6000|85.5000|2868.8000|2153.0000|NA|65713.5000|2488.7000|464.2000|2488.7000|10642.3000|NA
248186|TATA CONSUMER PRODUCTS LTD.|20220331|12|INDAS|78460.7000|44.8000|3154.1000|2051.9000|NA|65640.5000|1550.2000|360.8000|1550.2000|11583.2000|NA
