sa_finance1_cocode|sa_company_name|sa_finance1_year|sa_ann_rep_months|sa_fs_format|sa_sale_of_goods|sa_export_incentives|sa_salaries_bonus_pf|sa_long_term_borrowings|sa_curr_portion_lt_borrowings|sa_net_fixed_assets|sa_gross_fixed_ast_addn|sa_gross_intangible_assets_tot_addn|sa_gross_fixed_ast_addn|sa_cf_net_frm_op_activity|sa_export_goods
107757|JASMINE CONCRETE EXPORTS PVT. LTD.|20170331|12|INDAS|590.7000|1.7000|65.4000|NA|NA|130.3000|103.0000|0.4000|103.0000|53.7000|NA
107757|JASMINE CONCRETE EXPORTS PVT. LTD.|20180331|12|INDAS|659.9000|44.7000|81.7000|148.4000|48.8000|144.6000|45.8000|NA|45.8000|-11.4000|NA
107757|JASMINE CONCRETE EXPORTS PVT. LTD.|20190331|12|INDAS|718.1000|49.0000|110.1000|100.0000|49.6000|242.2000|145.1000|0.3000|145.1000|54.0000|NA
107757|JASMINE CONCRETE EXPORTS PVT. LTD.|20200331|12|INDAS|687.9000|29.9000|87.7000|0.0000|164.4000|363.7000|190.0000|0.3000|190.0000|-103.2000|NA
107757|JASMINE CONCRETE EXPORTS PVT. LTD.|20210331|12|INDAS|678.7000|14.1000|113.2000|70.0000|NA|346.6000|56.7000|0.3000|56.7000|-70.7000|NA
107757|JASMINE CONCRETE EXPORTS PVT. LTD.|20220331|12|INDAS|770.4000|4.3000|114.0000|153.4000|NA|296.2000|14.4000|4.2000|14.4000|-33.3000|NA
107927|JATINGA TEA LTD.|20160331|12|IGAAP|73.5000|NA|26.0000|16.8000|NA|114.9000|5.1000|NA|5.1000|-36.7000|NA
107927|JATINGA TEA LTD.|20170331|12|IGAAP|72.6000|NA|31.5000|16.7000|NA|112.4000|1.3000|NA|1.3000|5.4000|NA
107927|JATINGA TEA LTD.|20180331|12|IGAAP|71.6000|NA|35.7000|16.7000|NA|110.0000|0.3000|NA|0.3000|26.4000|NA
107927|JATINGA TEA LTD.|20190331|12|IGAAP|78.6000|NA|36.4000|16.7000|NA|105.5000|NA|NA|NA|-16.1000|NA
107927|JATINGA TEA LTD.|20200331|12|IGAAP|75.5000|NA|40.4000|16.7000|NA|100.9000|NA|NA|NA|9.0000|NA
107927|JATINGA TEA LTD.|20210331|12|IGAAP|99.5000|NA|38.8000|10.5000|NA|96.9000|NA|NA|NA|27.4000|NA
107927|JATINGA TEA LTD.|20220331|12|IGAAP|96.9000|NA|49.9000|9.1000|NA|95.4000|0.6000|NA|0.6000|30.0000|NA
108225|JAY SHREE TEA & INDS. LTD.|20160331|12|IGAAP|6741.9000|34.5000|2012.3000|1383.6000|753.9000|3216.9000|330.1000|NA|330.1000|589.6000|765.6000
